,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
9990,16,-15.00 ,-271.22,5.6029303,0.1758,0.00146,0.0002001,0.01212,0,-1,0.000486,20,9.5
10095,16,-15.00 ,-271.124,5.602576281,0.1758,0.001461,0.0002002,0.01215,0,-1,0.000487,20,9.6
10200,16,-15.00 ,-271.028,5.602222137,0.1758,0.001463,0.0002003,0.01218,0,-1,0.000488,20,9.7
10305,16,-15.00 ,-270.932,5.601867867,0.1759,0.001465,0.0002004,0.0122,0,-1,0.000489,20,9.8
10410,16,-15.00 ,-270.837,5.601517164,0.1759,0.001466,0.0002005,0.01223,0,-1,0.00049,20,9.9
10515,16,-15.00 ,-270.743,5.601170031,0.1759,0.001468,0.0002006,0.01226,0,-1,0.000491,20,10
10620,16,-15.00 ,-270.648,5.600819084,0.1759,0.001469,0.0002007,0.01228,0,-1,0.000492,20,10.1
10725,16,-15.00 ,-270.555,5.600475405,0.1759,0.001471,0.0002008,0.01231,0,-1,0.000493,20,10.2
10830,16,-15.00 ,-270.462,5.600131608,0.1759,0.001472,0.0002009,0.01233,0,-1,0.000494,20,10.3
10935,16,-15.00 ,-270.369,5.599787693,0.176,0.001474,0.000201,0.01236,0,-1,0.000495,20,10.4
11040,16,-15.00 ,-270.277,5.599447359,0.176,0.001475,0.0002011,0.01238,0,-1,0.000496,20,10.5
11145,16,-15.00 ,-270.185,5.59910691,0.176,0.001477,0.0002012,0.01241,0,-1,0.000497,20,10.6
11250,16,-15.00 ,-270.094,5.598770047,0.176,0.001478,0.0002013,0.01243,0,-1,0.000498,20,10.7
11355,16,-15.00 ,-270.003,5.59843307,0.176,0.00148,0.0002014,0.01245,0,-1,0.000499,20,10.8
11460,16,-15.00 ,-269.913,5.598099685,0.1761,0.001481,0.0002015,0.01248,0,-1,0.0005,20,10.9
11565,16,-15.00 ,-269.824,5.597769895,0.1761,0.001483,0.0002016,0.0125,0,-1,0.000501,20,11
11670,16,-15.00 ,-269.735,5.597439996,0.1761,0.001484,0.0002017,0.01252,0,-1,0.000502,20,11.1
11775,16,-15.00 ,-269.647,5.597113696,0.1761,0.001486,0.0002018,0.01254,0,-1,0.000502,20,11.2
11880,16,-15.00 ,-269.559,5.59678729,0.1761,0.001487,0.0002019,0.01256,0,-1,0.000503,20,11.3
11985,16,-15.00 ,-269.472,5.596464489,0.1761,0.001489,0.000202,0.01258,0,-1,0.000504,20,11.4
12090,16,-15.00 ,-269.385,5.596141583,0.1762,0.00149,0.0002021,0.0126,0,-1,0.000505,20,11.5
12195,16,-15.00 ,-269.299,5.595822286,0.1762,0.001492,0.0002021,0.01262,0,-1,0.000506,20,11.6
12300,16,-15.00 ,-269.214,5.595506602,0.1762,0.001493,0.0002022,0.01264,0,-1,0.000506,20,11.7
12405,16,-15.00 ,-269.129,5.595190819,0.1762,0.001494,0.0002023,0.01266,0,-1,0.000507,20,11.8
12510,16,-15.00 ,-269.045,5.594878652,0.1762,0.001496,0.0002024,0.01267,0,-1,0.000508,20,11.9
12615,16,-15.00 ,-268.961,5.594566388,0.1762,0.001497,0.0002025,0.01269,0,-1,0.000508,20,12
12720,16,-15.00 ,-268.879,5.594261464,0.1763,0.001499,0.0002026,0.01271,0,-1,0.000509,20,12.1
12825,16,-15.00 ,-268.796,5.593952728,0.1763,0.0015,0.0002027,0.01273,0,-1,0.00051,20,12.2
12930,16,-15.00 ,-268.715,5.593651338,0.1763,0.001501,0.0002028,0.01274,0,-1,0.00051,20,12.3
13035,16,-15.00 ,-268.634,5.593349858,0.1763,0.001503,0.0002029,0.01276,0,-1,0.000511,20,12.4
13140,16,-15.00 ,-268.554,5.593052011,0.1763,0.001504,0.000203,0.01277,0,-1,0.000512,20,12.5
13245,16,-15.00 ,-268.474,5.592754075,0.1763,0.001505,0.000203,0.01279,0,-1,0.000512,20,12.6
13350,16,-15.00 ,-268.395,5.592459776,0.1764,0.001507,0.0002031,0.0128,0,-1,0.000513,20,12.7
13455,16,-15.00 ,-268.317,5.592169117,0.1764,0.001508,0.0002032,0.01282,0,-1,0.000513,20,12.8
13560,16,-15.00 ,-268.24,5.591882102,0.1764,0.001509,0.0002033,0.01283,0,-1,0.000514,20,12.9
13665,16,-15.00 ,-268.163,5.591595005,0.1764,0.00151,0.0002034,0.01284,0,-1,0.000515,20,13
13770,16,-15.00 ,-268.087,5.591311555,0.1764,0.001512,0.0002035,0.01286,0,-1,0.000515,20,13.1
13875,16,-15.00 ,-268.011,5.591028024,0.1764,0.001513,0.0002035,0.01287,0,-1,0.000516,20,13.2
13980,16,-15.00 ,-267.937,5.590751878,0.1764,0.001514,0.0002036,0.01288,0,-1,0.000516,20,13.3
14085,16,-15.00 ,-267.863,5.590475656,0.1765,0.001515,0.0002037,0.01289,0,-1,0.000517,20,13.4
14190,16,-15.00 ,-267.789,5.590199357,0.1765,0.001517,0.0002038,0.01291,0,-1,0.000517,20,13.5
14295,16,-15.00 ,-267.717,5.589930452,0.1765,0.001518,0.0002039,0.01292,0,-1,0.000517,20,13.6
14400,16,-15.00 ,-267.646,5.589665212,0.1765,0.001519,0.0002039,0.01293,0,-1,0.000518,20,13.7
14505,16,-15.00 ,-267.576,5.589403638,0.1765,0.00152,0.000204,0.01294,0,-1,0.000518,20,13.8
14610,16,-15.00 ,-267.507,5.589145734,0.1765,0.001521,0.0002041,0.01295,0,-1,0.000519,20,13.9
14715,16,-15.00 ,-267.438,5.588887764,0.1765,0.001522,0.0002042,0.01296,0,-1,0.000519,20,14
14820,16,-15.00 ,-267.37,5.588633467,0.1765,0.001523,0.0002042,0.01296,0,-1,0.000519,20,14.1
14925,16,-15.00 ,-267.303,5.588382846,0.1766,0.001525,0.0002043,0.01297,0,-1,0.00052,20,14.2
15030,16,-15.00 ,-267.236,5.588132163,0.1766,0.001526,0.0002044,0.01298,0,-1,0.00052,20,14.3
15135,16,-15.00 ,-267.17,5.58788516,0.1766,0.001527,0.0002044,0.01299,0,-1,0.00052,20,14.4
15240,16,-15.00 ,-267.105,5.58764184,0.1766,0.001528,0.0002045,0.013,0,-1,0.000521,20,14.5
15345,16,-15.00 ,-267.04,5.58739846,0.1766,0.001529,0.0002046,0.01301,0,-1,0.000521,20,14.6
15450,16,-15.00 ,-266.975,5.587155021,0.1766,0.00153,0.0002046,0.01302,0,-1,0.000521,20,14.7
15555,16,-15.00 ,-266.912,5.586919016,0.1766,0.001531,0.0002047,0.01302,0,-1,0.000522,20,14.8
15660,16,-15.00 ,-266.849,5.586682955,0.1767,0.001532,0.0002048,0.01303,0,-1,0.000522,20,14.9
15765,16,-15.00 ,-266.787,5.586450587,0.1767,0.001533,0.0002049,0.01304,0,-1,0.000522,20,15
15870,16,-15.00 ,-266.725,5.586218165,0.1767,0.001534,0.0002049,0.01305,0,-1,0.000523,20,15.1
15975,16,-15.00 ,-266.664,5.585989439,0.1767,0.001535,0.000205,0.01305,0,-1,0.000523,20,15.2
16080,16,-15.00 ,-266.604,5.585764411,0.1767,0.001536,0.000205,0.01306,0,-1,0.000523,20,15.3
16185,16,-15.00 ,-266.544,5.585539333,0.1767,0.001537,0.0002051,0.01307,0,-1,0.000523,20,15.4
16290,16,-15.00 ,-266.486,5.585321709,0.1767,0.001538,0.0002052,0.01307,0,-1,0.000524,20,15.5
16395,16,-15.00 ,-266.428,5.585104038,0.1767,0.001539,0.0002052,0.01308,0,-1,0.000524,20,15.6
16500,16,-15.00 ,-266.37,5.58488632,0.1767,0.00154,0.0002053,0.01308,0,-1,0.000524,20,15.7
16605,16,-15.00 ,-266.314,5.584676064,0.1768,0.001541,0.0002054,0.01309,0,-1,0.000524,20,15.8
16710,16,-15.00 ,-266.258,5.584465764,0.1768,0.001542,0.0002054,0.01309,0,-1,0.000525,20,15.9
16815,16,-15.00 ,-266.203,5.584259176,0.1768,0.001543,0.0002055,0.0131,0,-1,0.000525,20,16
16920,16,-15.00 ,-266.148,5.584052545,0.1768,0.001544,0.0002055,0.0131,0,-1,0.000525,20,16.1
17025,16,-15.00 ,-266.095,5.583853388,0.1768,0.001545,0.0002056,0.01311,0,-1,0.000525,20,16.2
17130,16,-15.00 ,-266.042,5.583654191,0.1768,0.001545,0.0002057,0.01311,0,-1,0.000525,20,16.3
17235,16,-15.00 ,-265.989,5.583454955,0.1768,0.001546,0.0002057,0.01311,0,-1,0.000525,20,16.4
17340,16,-15.00 ,-265.938,5.583263199,0.1768,0.001547,0.0002058,0.01312,0,-1,0.000525,20,16.5
17445,16,-15.00 ,-265.887,5.583071406,0.1768,0.001548,0.0002058,0.01312,0,-1,0.000526,20,16.6
17550,16,-15.00 ,-265.837,5.582883339,0.1768,0.001549,0.0002059,0.01312,0,-1,0.000526,20,16.7
17655,16,-15.00 ,-265.788,5.582698999,0.1769,0.00155,0.0002059,0.01312,0,-1,0.000526,20,16.8
17760,16,-15.00 ,-265.74,5.582518387,0.1769,0.00155,0.000206,0.01313,0,-1,0.000526,20,16.9
17865,16,-15.00 ,-265.692,5.582337743,0.1769,0.001551,0.000206,0.01313,0,-1,0.000526,20,17
17970,16,-15.00 ,-265.645,5.582160831,0.1769,0.001552,0.0002061,0.01313,0,-1,0.000526,20,17.1
18075,16,-15.00 ,-265.599,5.581987653,0.1769,0.001553,0.0002061,0.01313,0,-1,0.000526,20,17.2
18180,16,-15.00 ,-265.554,5.58181821,0.1769,0.001554,0.0002062,0.01313,0,-1,0.000526,20,17.3
18285,16,-15.00 ,-265.509,5.581648738,0.1769,0.001554,0.0002062,0.01313,0,-1,0.000526,20,17.4
18390,16,-15.00 ,-265.465,5.581483005,0.1769,0.001555,0.0002063,0.01314,0,-1,0.000526,20,17.5
18495,16,-15.00 ,-265.422,5.581321012,0.1769,0.001556,0.0002063,0.01314,0,-1,0.000526,20,17.6
18600,16,-15.00 ,-265.38,5.581162761,0.1769,0.001556,0.0002064,0.01314,0,-1,0.000526,20,17.7
18705,16,-15.00 ,-265.338,5.581004485,0.1769,0.001557,0.0002064,0.01314,0,-1,0.000526,20,17.8
18810,16,-15.00 ,-265.298,5.580853722,0.177,0.001558,0.0002065,0.01314,0,-1,0.000526,20,17.9
18915,16,-15.00 ,-265.258,5.580702937,0.177,0.001558,0.0002065,0.01314,0,-1,0.000526,20,18
19020,16,-15.00 ,-265.218,5.580552129,0.177,0.001559,0.0002065,0.01314,0,-1,0.000526,20,18.1
19125,16,-15.00 ,-265.18,5.580408841,0.177,0.00156,0.0002066,0.01314,0,-1,0.000526,20,18.2
19230,16,-15.00 ,-265.142,5.580265532,0.177,0.00156,0.0002066,0.01314,0,-1,0.000526,20,18.3
19335,16,-15.00 ,-265.105,5.580125974,0.177,0.001561,0.0002067,0.01314,0,-1,0.000526,20,18.4
19440,16,-15.00 ,-265.069,5.579990169,0.177,0.001562,0.0002067,0.01314,0,-1,0.000526,20,18.5
19545,16,-15.00 ,-265.033,5.579854347,0.177,0.001562,0.0002067,0.01313,0,-1,0.000526,20,18.6
19650,16,-15.00 ,-264.999,5.579726052,0.177,0.001563,0.0002068,0.01313,0,-1,0.000526,20,18.7
19755,16,-15.00 ,-264.965,5.579597742,0.177,0.001563,0.0002068,0.01313,0,-1,0.000526,20,18.8
19860,16,-15.00 ,-264.931,5.579469415,0.177,0.001564,0.0002069,0.01313,0,-1,0.000526,20,18.9
19965,16,-15.00 ,-264.899,5.579348621,0.177,0.001564,0.0002069,0.01313,0,-1,0.000526,20,19
20070,16,-15.00 ,-264.867,5.579227813,0.177,0.001565,0.0002069,0.01313,0,-1,0.000526,20,19.1
20175,16,-15.00 ,-264.836,5.579110766,0.177,0.001565,0.000207,0.01312,0,-1,0.000526,20,19.2
20280,16,-15.00 ,-264.806,5.578997482,0.177,0.001566,0.000207,0.01312,0,-1,0.000526,20,19.3
20385,16,-15.00 ,-264.776,5.578884186,0.1771,0.001566,0.000207,0.01312,0,-1,0.000526,20,19.4
20490,16,-15.00 ,-264.748,5.57877843,0.1771,0.001567,0.000207,0.01312,0,-1,0.000526,20,19.5
20595,16,-15.00 ,-264.72,5.578672664,0.1771,0.001567,0.0002071,0.01311,0,-1,0.000525,20,19.6
20700,16,-15.00 ,-264.692,5.578566886,0.1771,0.001568,0.0002071,0.01311,0,-1,0.000525,20,19.7
20805,16,-15.00 ,-264.666,5.578468654,0.1771,0.001568,0.0002071,0.01311,0,-1,0.000525,20,19.8
20910,16,-15.00 ,-264.64,5.578370412,0.1771,0.001569,0.0002072,0.01311,0,-1,0.000525,20,19.9
21015,16,-15.00 ,-264.615,5.578275939,0.1771,0.001569,0.0002072,0.0131,0,-1,0.000525,20,20
21120,16,-15.00 ,-264.591,5.578185237,0.1771,0.001569,0.0002072,0.0131,0,-1,0.000525,20,20.1
21225,16,-15.00 ,-264.567,5.578094527,0.1771,0.00157,0.0002072,0.0131,0,-1,0.000525,20,20.2
21330,16,-15.00 ,-264.544,5.578007589,0.1771,0.00157,0.0002073,0.01309,0,-1,0.000525,20,20.3
21435,16,-15.00 ,-264.522,5.577924424,0.1771,0.001571,0.0002073,0.01309,0,-1,0.000524,20,20.4
21540,16,-15.00 ,-264.501,5.577845032,0.1771,0.001571,0.0002073,0.01308,0,-1,0.000524,20,20.5
21645,16,-15.00 ,-264.48,5.577765634,0.1771,0.001571,0.0002073,0.01308,0,-1,0.000524,20,20.6
21750,16,-15.00 ,-264.46,5.577690011,0.1771,0.001572,0.0002074,0.01308,0,-1,0.000524,20,20.7
21855,16,-15.00 ,-264.441,5.577618164,0.1771,0.001572,0.0002074,0.01307,0,-1,0.000524,20,20.8
21960,16,-15.00 ,-264.422,5.577546312,0.1771,0.001572,0.0002074,0.01307,0,-1,0.000524,20,20.9
22065,16,-15.00 ,-264.404,5.577478236,0.1771,0.001573,0.0002074,0.01306,0,-1,0.000523,20,21
22170,16,-15.00 ,-264.387,5.577413939,0.1771,0.001573,0.0002074,0.01306,0,-1,0.000523,20,21.1
22275,16,-15.00 ,-264.371,5.57735342,0.1771,0.001573,0.0002075,0.01305,0,-1,0.000523,20,21.2
22380,16,-15.00 ,-264.355,5.577292897,0.1771,0.001573,0.0002075,0.01305,0,-1,0.000523,20,21.3
22485,16,-15.00 ,-264.34,5.577236153,0.1771,0.001574,0.0002075,0.01304,0,-1,0.000523,20,21.4
22590,16,-15.00 ,-264.325,5.577179407,0.1771,0.001574,0.0002075,0.01304,0,-1,0.000522,20,21.5
22695,16,-15.00 ,-264.312,5.577130224,0.1771,0.001574,0.0002075,0.01303,0,-1,0.000522,20,21.6
22800,16,-15.00 ,-264.299,5.577081038,0.1771,0.001574,0.0002075,0.01303,0,-1,0.000522,20,21.7
22905,16,-15.00 ,-264.286,5.57703185,0.1771,0.001574,0.0002075,0.01302,0,-1,0.000522,20,21.8
23010,16,-15.00 ,-264.275,5.576990228,0.1772,0.001575,0.0002076,0.01302,0,-1,0.000522,20,21.9
23115,16,-15.00 ,-264.263,5.576944819,0.1772,0.001575,0.0002076,0.01301,0,-1,0.000521,20,22
23220,16,-15.00 ,-264.253,5.576906978,0.1772,0.001575,0.0002076,0.01301,0,-1,0.000521,20,22.1
23325,16,-15.00 ,-264.243,5.576869134,0.1772,0.001575,0.0002076,0.013,0,-1,0.000521,20,22.2
23430,16,-15.00 ,-264.234,5.576835074,0.1772,0.001575,0.0002076,0.01299,0,-1,0.000521,20,22.3
23535,16,-15.00 ,-264.226,5.576804798,0.1772,0.001575,0.0002076,0.01299,0,-1,0.00052,20,22.4
23640,16,-15.00 ,-264.218,5.57677452,0.1772,0.001576,0.0002076,0.01298,0,-1,0.00052,20,22.5
23745,16,-15.00 ,-264.211,5.576748026,0.1772,0.001576,0.0002076,0.01298,0,-1,0.00052,20,22.6
23850,16,-15.00 ,-264.205,5.576725317,0.1772,0.001576,0.0002076,0.01297,0,-1,0.00052,20,22.7
23955,16,-15.00 ,-264.199,5.576702607,0.1772,0.001576,0.0002076,0.01296,0,-1,0.000519,20,22.8
24060,16,-15.00 ,-264.194,5.576683682,0.1772,0.001576,0.0002076,0.01296,0,-1,0.000519,20,22.9
