,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
8615,6.0,-5.0,-491.446,0.1482,0.0001833,7.936e-05,0.01221,0.0,-1.0,0.000489,20.0,8.200000000000001
8720,6.0,-5.0,-491.85,0.1482,0.000183,7.928e-05,0.0122,0.0,-1.0,0.000489,20.0,8.3
8825,6.0,-5.0,-492.24,0.1482,0.0001827,7.92e-05,0.0122,0.0,-1.0,0.000489,20.0,8.4
8930,6.0,-5.0,-492.617,0.1481,0.0001824,7.913e-05,0.01219,0.0,-1.0,0.000488,20.0,8.5
9035,6.0,-5.0,-492.981,0.1481,0.0001821,7.906e-05,0.01219,0.0,-1.0,0.000488,20.0,8.6
9140,6.0,-5.0,-493.333,0.1481,0.0001818,7.9e-05,0.01218,0.0,-1.0,0.000488,20.0,8.700000000000001
9245,6.0,-5.0,-493.672,0.1481,0.0001815,7.893e-05,0.01217,0.0,-1.0,0.000488,20.0,8.8
9350,6.0,-5.0,-494.0,0.148,0.0001813,7.887e-05,0.01217,0.0,-1.0,0.000488,20.0,8.9
9455,6.0,-5.0,-494.317,0.148,0.000181,7.881e-05,0.01216,0.0,-1.0,0.000487,20.0,9.0
9560,6.0,-5.0,-494.622,0.148,0.0001808,7.875e-05,0.01216,0.0,-1.0,0.000487,20.0,9.1
9665,6.0,-5.0,-494.917,0.148,0.0001805,7.87e-05,0.01215,0.0,-1.0,0.000487,20.0,9.200000000000001
9770,6.0,-5.0,-495.201,0.148,0.0001803,7.864e-05,0.01215,0.0,-1.0,0.000487,20.0,9.3
9875,6.0,-5.0,-495.475,0.1479,0.0001801,7.859e-05,0.01214,0.0,-1.0,0.000487,20.0,9.4
9980,6.0,-5.0,-495.74,0.1479,0.0001799,7.854e-05,0.01214,0.0,-1.0,0.000486,20.0,9.5
10085,6.0,-5.0,-495.994,0.1479,0.0001797,7.849e-05,0.01213,0.0,-1.0,0.000486,20.0,9.600000000000001
10190,6.0,-5.0,-496.239,0.1479,0.0001795,7.845e-05,0.01213,0.0,-1.0,0.000486,20.0,9.700000000000001
10295,6.0,-5.0,-496.475,0.1479,0.0001793,7.84e-05,0.01213,0.0,-1.0,0.000486,20.0,9.8
10400,6.0,-5.0,-496.702,0.1479,0.0001791,7.836e-05,0.01212,0.0,-1.0,0.000486,20.0,9.9
10505,6.0,-5.0,-496.92,0.1478,0.0001789,7.832e-05,0.01212,0.0,-1.0,0.000485,20.0,10.0
10610,6.0,-5.0,-497.13,0.1478,0.0001788,7.828e-05,0.01211,0.0,-1.0,0.000485,20.0,10.100000000000001
10715,6.0,-5.0,-497.331,0.1478,0.0001786,7.824e-05,0.01211,0.0,-1.0,0.000485,20.0,10.200000000000001
10820,6.0,-5.0,-497.524,0.1478,0.0001785,7.82e-05,0.01211,0.0,-1.0,0.000485,20.0,10.3
10925,6.0,-5.0,-497.71,0.1478,0.0001783,7.817e-05,0.01211,0.0,-1.0,0.000485,20.0,10.4
11030,6.0,-5.0,-497.887,0.1478,0.0001782,7.813e-05,0.0121,0.0,-1.0,0.000485,20.0,10.5
11135,6.0,-5.0,-498.057,0.1478,0.000178,7.81e-05,0.0121,0.0,-1.0,0.000485,20.0,10.600000000000001
11240,6.0,-5.0,-498.22,0.1478,0.0001779,7.807e-05,0.0121,0.0,-1.0,0.000485,20.0,10.700000000000001
11345,6.0,-5.0,-498.376,0.1478,0.0001778,7.804e-05,0.0121,0.0,-1.0,0.000485,20.0,10.8
11450,6.0,-5.0,-498.524,0.1477,0.0001777,7.801e-05,0.0121,0.0,-1.0,0.000485,20.0,10.9
11555,6.0,-5.0,-498.666,0.1477,0.0001775,7.798e-05,0.01209,0.0,-1.0,0.000485,20.0,11.0
11660,6.0,-5.0,-498.801,0.1477,0.0001774,7.796e-05,0.01209,0.0,-1.0,0.000484,20.0,11.100000000000001
11765,6.0,-5.0,-498.93,0.1477,0.0001773,7.793e-05,0.01209,0.0,-1.0,0.000484,20.0,11.200000000000001
11870,6.0,-5.0,-499.052,0.1477,0.0001772,7.791e-05,0.01209,0.0,-1.0,0.000484,20.0,11.3
11975,6.0,-5.0,-499.168,0.1477,0.0001771,7.789e-05,0.01209,0.0,-1.0,0.000484,20.0,11.4
12080,6.0,-5.0,-499.278,0.1477,0.000177,7.787e-05,0.01209,0.0,-1.0,0.000484,20.0,11.5
12185,6.0,-5.0,-499.382,0.1477,0.000177,7.785e-05,0.01209,0.0,-1.0,0.000484,20.0,11.600000000000001
12290,6.0,-5.0,-499.481,0.1477,0.0001769,7.783e-05,0.01209,0.0,-1.0,0.000484,20.0,11.700000000000001
12395,6.0,-5.0,-499.574,0.1477,0.0001768,7.781e-05,0.01209,0.0,-1.0,0.000484,20.0,11.8
12500,6.0,-5.0,-499.661,0.1477,0.0001767,7.78e-05,0.01209,0.0,-1.0,0.000484,20.0,11.9
12605,6.0,-5.0,-499.743,0.1477,0.0001767,7.778e-05,0.01209,0.0,-1.0,0.000484,20.0,12.0
12710,6.0,-5.0,-499.82,0.1477,0.0001766,7.777e-05,0.01209,0.0,-1.0,0.000484,20.0,12.100000000000001
12815,6.0,-5.0,-499.892,0.1476,0.0001766,7.775e-05,0.01209,0.0,-1.0,0.000484,20.0,12.200000000000001
12920,6.0,-5.0,-499.958,0.1476,0.0001765,7.774e-05,0.01209,0.0,-1.0,0.000485,20.0,12.3
13025,6.0,-5.0,-500.02,0.1476,0.0001765,7.773e-05,0.0121,0.0,-1.0,0.000485,20.0,12.4
13130,6.0,-5.0,-500.077,0.1476,0.0001764,7.772e-05,0.0121,0.0,-1.0,0.000485,20.0,12.5
13235,6.0,-5.0,-500.13,0.1476,0.0001764,7.771e-05,0.0121,0.0,-1.0,0.000485,20.0,12.600000000000001
13340,6.0,-5.0,-500.178,0.1476,0.0001763,7.77e-05,0.0121,0.0,-1.0,0.000485,20.0,12.700000000000001
13445,6.0,-5.0,-500.222,0.1476,0.0001763,7.769e-05,0.0121,0.0,-1.0,0.000485,20.0,12.8
13550,6.0,-5.0,-500.262,0.1476,0.0001763,7.768e-05,0.0121,0.0,-1.0,0.000485,20.0,12.9
13655,6.0,-5.0,-500.297,0.1476,0.0001762,7.768e-05,0.01211,0.0,-1.0,0.000485,20.0,13.0
13760,6.0,-5.0,-500.329,0.1476,0.0001762,7.767e-05,0.01211,0.0,-1.0,0.000485,20.0,13.100000000000001
13865,6.0,-5.0,-500.356,0.1476,0.0001762,7.766e-05,0.01211,0.0,-1.0,0.000485,20.0,13.200000000000001
13970,6.0,-5.0,-500.38,0.1476,0.0001762,7.766e-05,0.01211,0.0,-1.0,0.000485,20.0,13.3
14075,6.0,-5.0,-500.4,0.1476,0.0001761,7.766e-05,0.01212,0.0,-1.0,0.000485,20.0,13.4
14180,6.0,-5.0,-500.416,0.1476,0.0001761,7.765e-05,0.01212,0.0,-1.0,0.000486,20.0,13.5
14285,6.0,-5.0,-500.429,0.1476,0.0001761,7.765e-05,0.01212,0.0,-1.0,0.000486,20.0,13.600000000000001
14390,6.0,-5.0,-500.439,0.1476,0.0001761,7.765e-05,0.01213,0.0,-1.0,0.000486,20.0,13.700000000000001
14495,6.0,-5.0,-500.445,0.1476,0.0001761,7.765e-05,0.01213,0.0,-1.0,0.000486,20.0,13.8
14600,6.0,-5.0,-500.448,0.1476,0.0001761,7.765e-05,0.01213,0.0,-1.0,0.000486,20.0,13.9
14705,6.0,-5.0,-500.448,0.1476,0.0001761,7.765e-05,0.01214,0.0,-1.0,0.000486,20.0,14.0
14810,6.0,-5.0,-500.445,0.1476,0.0001761,7.765e-05,0.01214,0.0,-1.0,0.000486,20.0,14.100000000000001
14915,6.0,-5.0,-500.439,0.1476,0.0001761,7.765e-05,0.01215,0.0,-1.0,0.000487,20.0,14.200000000000001
15020,6.0,-5.0,-500.43,0.1476,0.0001761,7.765e-05,0.01215,0.0,-1.0,0.000487,20.0,14.3
15125,6.0,-5.0,-500.419,0.1476,0.0001761,7.765e-05,0.01215,0.0,-1.0,0.000487,20.0,14.4
15230,6.0,-5.0,-500.404,0.1476,0.0001761,7.765e-05,0.01216,0.0,-1.0,0.000487,20.0,14.5
15335,6.0,-5.0,-500.387,0.1476,0.0001762,7.766e-05,0.01216,0.0,-1.0,0.000487,20.0,14.600000000000001
15440,6.0,-5.0,-500.368,0.1476,0.0001762,7.766e-05,0.01217,0.0,-1.0,0.000487,20.0,14.700000000000001
15545,6.0,-5.0,-500.346,0.1476,0.0001762,7.767e-05,0.01217,0.0,-1.0,0.000488,20.0,14.8
15650,6.0,-5.0,-500.322,0.1476,0.0001762,7.767e-05,0.01218,0.0,-1.0,0.000488,20.0,14.9
15755,6.0,-5.0,-500.295,0.1476,0.0001762,7.768e-05,0.01218,0.0,-1.0,0.000488,20.0,15.0
15860,6.0,-5.0,-500.266,0.1476,0.0001763,7.768e-05,0.01218,0.0,-1.0,0.000488,20.0,15.100000000000001
15965,6.0,-5.0,-500.235,0.1476,0.0001763,7.769e-05,0.01219,0.0,-1.0,0.000488,20.0,15.200000000000001
16070,6.0,-5.0,-500.202,0.1476,0.0001763,7.769e-05,0.01219,0.0,-1.0,0.000489,20.0,15.3
16175,6.0,-5.0,-500.167,0.1476,0.0001763,7.77e-05,0.0122,0.0,-1.0,0.000489,20.0,15.4
16280,6.0,-5.0,-500.131,0.1476,0.0001764,7.771e-05,0.0122,0.0,-1.0,0.000489,20.0,15.5
16385,6.0,-5.0,-500.092,0.1476,0.0001764,7.771e-05,0.01221,0.0,-1.0,0.000489,20.0,15.600000000000001
