 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2022    Time:  10:20:35
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  85   -84.0000     -18.415 0.2762   0.2901E+01  0.6612E-02 -0.2242E+01  0.0000E+00      -1  -0.211E-01   20.00
  86   -85.0000     -18.189 0.2778   0.3051E+01  0.6688E-02 -0.2366E+01  0.0000E+00      -1  -0.223E-01   20.00
  87   -86.0000     -17.966 0.2794   0.3199E+01  0.6763E-02 -0.2489E+01  0.0000E+00      -1  -0.235E-01   20.00
  88   -87.0000     -17.745 0.2810   0.3346E+01  0.6837E-02 -0.2611E+01  0.0000E+00      -1  -0.246E-01   20.00
  89   -88.0000     -17.527 0.2825   0.3491E+01  0.6911E-02 -0.2732E+01  0.0000E+00      -1  -0.258E-01   20.00
  90   -89.0000     -17.311 0.2841   0.3635E+01  0.6984E-02 -0.2853E+01  0.0000E+00      -1  -0.269E-01   20.00
  91   -90.0000     -17.097 0.2856   0.3777E+01  0.7056E-02 -0.2973E+01  0.0000E+00      -1  -0.280E-01   20.00
  92   -91.0000     -16.885 0.2871   0.3918E+01  0.7127E-02 -0.3092E+01  0.0000E+00      -1  -0.291E-01   20.00
  93   -92.0000     -16.675 0.2886   0.4057E+01  0.7198E-02 -0.3211E+01  0.0000E+00      -1  -0.303E-01   20.00
  94   -93.0000     -16.468 0.2901   0.4195E+01  0.7268E-02 -0.3328E+01  0.0000E+00      -1  -0.314E-01   20.00
  95   -94.0000     -16.262 0.2916   0.4332E+01  0.7337E-02 -0.3445E+01  0.0000E+00      -1  -0.325E-01   20.00
  96   -95.0000     -16.058 0.2930   0.4467E+01  0.7405E-02 -0.3562E+01  0.0000E+00      -1  -0.336E-01   20.00
  97   -96.0000     -15.857 0.2945   0.4601E+01  0.7473E-02 -0.3677E+01  0.0000E+00      -1  -0.347E-01   20.00
  98   -97.0000     -15.657 0.2959   0.4734E+01  0.7541E-02 -0.3792E+01  0.0000E+00      -1  -0.357E-01   20.00
  99   -98.0000     -15.459 0.2973   0.4866E+01  0.7607E-02 -0.3906E+01  0.0000E+00      -1  -0.368E-01   20.00
 100   -99.0000     -15.262 0.2987   0.4997E+01  0.7674E-02 -0.4019E+01  0.0000E+00      -1  -0.379E-01   20.00
 101  -100.0000     -15.068 0.3001   0.5126E+01  0.7739E-02 -0.4076E+01  0.0000E+00      -1  -0.384E-01   20.00
end


 Time:        0.1000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000     -68.289 0.1447   0.2510E-01  0.1015E-02  0.1000E+00  0.0000E+00      -1   0.943E-03   20.00
   2    -1.0000     -64.332 0.1487   0.3087E-01  0.1120E-02  0.6946E-01  0.0000E+00      -1   0.655E-03   20.00
   3    -2.0000     -61.621 0.1515   0.3482E-01  0.1192E-02  0.4706E-01  0.0000E+00      -1   0.444E-03   20.00
   4    -3.0000     -59.592 0.1537   0.3890E-01  0.1254E-02  0.2987E-01  0.0000E+00      -1   0.282E-03   20.00
   5    -4.0000     -58.078 0.1560   0.4588E-01  0.1327E-02  0.1726E-01  0.0000E+00      -1   0.163E-03   20.00
   6    -5.0000     -56.817 0.1579   0.5168E-01  0.1387E-02  0.9997E-02  0.0000E+00      -1   0.942E-04   20.00
   7    -6.0000     -55.683 0.1596   0.5690E-01  0.1442E-02  0.5472E-02  0.0000E+00      -1   0.516E-04   20.00
   8    -7.0000     -54.621 0.1612   0.6179E-01  0.1493E-02  0.2244E-02  0.0000E+00      -1   0.212E-04   20.00
   9    -8.0000     -53.609 0.1627   0.6645E-01  0.1542E-02 -0.4327E-03  0.0000E+00      -1  -0.408E-05   20.00
  10    -9.0000     -52.633 0.1642   0.7094E-01  0.1589E-02 -0.2925E-02  0.0000E+00      -1  -0.276E-04   20.00
  11   -10.0000     -51.690 0.1656   0.7529E-01  0.1635E-02 -0.5404E-02  0.0000E+00      -1  -0.509E-04   20.00
  12   -11.0000     -50.776 0.1670   0.7949E-01  0.1679E-02 -0.7945E-02  0.0000E+00      -1  -0.749E-04   20.00
  13   -12.0000     -49.889 0.1683   0.8358E-01  0.1721E-02 -0.1058E-01  0.0000E+00      -1  -0.997E-04   20.00
  14   -13.0000     -49.029 0.1696   0.8754E-01  0.1763E-02 -0.1332E-01  0.0000E+00      -1  -0.126E-03   20.00
  15   -14.0000     -48.193 0.1709   0.9139E-01  0.1803E-02 -0.1617E-01  0.0000E+00      -1  -0.152E-03   20.00
  16   -15.0000     -47.381 0.1722   0.9634E-01  0.1847E-02 -0.1987E-01  0.0000E+00      -1  -0.187E-03   20.00
  17   -16.0000     -46.598 0.1739   0.1074E+00  0.1913E-02 -0.2447E-01  0.0000E+00      -1  -0.231E-03   20.00
  18   -17.0000     -45.836 0.1756   0.1182E+00  0.1977E-02 -0.2932E-01  0.0000E+00      -1  -0.276E-03   20.00
  19   -18.0000     -45.094 0.1772   0.1287E+00  0.2040E-02 -0.3441E-01  0.0000E+00      -1  -0.324E-03   20.00
  20   -19.0000     -44.370 0.1788   0.1389E+00  0.2101E-02 -0.3972E-01  0.0000E+00      -1  -0.374E-03   20.00
  21   -20.0000     -43.665 0.1804   0.1488E+00  0.2160E-02 -0.4524E-01  0.0000E+00      -1  -0.426E-03   20.00
  22   -21.0000     -42.978 0.1819   0.1585E+00  0.2218E-02 -0.5095E-01  0.0000E+00      -1  -0.480E-03   20.00
  23   -22.0000     -42.308 0.1834   0.1680E+00  0.2275E-02 -0.5686E-01  0.0000E+00      -1  -0.536E-03   20.00
  24   -23.0000     -41.654 0.1849   0.1772E+00  0.2330E-02 -0.6295E-01  0.0000E+00      -1  -0.593E-03   20.00
  25   -24.0000     -41.018 0.1863   0.1862E+00  0.2384E-02 -0.6925E-01  0.0000E+00      -1  -0.653E-03   20.00
  26   -25.0000     -40.398 0.1876   0.1950E+00  0.2436E-02 -0.7575E-01  0.0000E+00      -1  -0.714E-03   20.00
  27   -26.0000     -39.795 0.1890   0.2035E+00  0.2487E-02 -0.8246E-01  0.0000E+00      -1  -0.777E-03   20.00
  28   -27.0000     -39.208 0.1903   0.2118E+00  0.2536E-02 -0.8940E-01  0.0000E+00      -1  -0.843E-03   20.00
  29   -28.0000     -38.639 0.1915   0.2198E+00  0.2585E-02 -0.9655E-01  0.0000E+00      -1  -0.910E-03   20.00
  30   -29.0000     -38.087 0.1928   0.2276E+00  0.2631E-02 -0.1039E+00  0.0000E+00      -1  -0.979E-03   20.00
  31   -30.0000     -37.549 0.1941   0.2380E+00  0.2682E-02 -0.1132E+00  0.0000E+00      -1  -0.107E-02   20.00
  32   -31.0000     -37.026 0.1957   0.2596E+00  0.2755E-02 -0.1247E+00  0.0000E+00      -1  -0.118E-02   20.00
  33   -32.0000     -36.509 0.1973   0.2811E+00  0.2827E-02 -0.1368E+00  0.0000E+00      -1  -0.129E-02   20.00
  34   -33.0000     -36.000 0.1990   0.3022E+00  0.2898E-02 -0.1494E+00  0.0000E+00      -1  -0.141E-02   20.00
  35   -34.0000     -35.498 0.2006   0.3229E+00  0.2968E-02 -0.1625E+00  0.0000E+00      -1  -0.153E-02   20.00
  36   -35.0000     -35.006 0.2021   0.3433E+00  0.3037E-02 -0.1759E+00  0.0000E+00      -1  -0.166E-02   20.00
  37   -36.0000     -34.523 0.2036   0.3634E+00  0.3105E-02 -0.1895E+00  0.0000E+00      -1  -0.179E-02   20.00
  38   -37.0000     -34.049 0.2051   0.3830E+00  0.3171E-02 -0.2035E+00  0.0000E+00      -1  -0.192E-02   20.00
  39   -38.0000     -33.585 0.2066   0.4022E+00  0.3235E-02 -0.2176E+00  0.0000E+00      -1  -0.205E-02   20.00
  40   -39.0000     -33.131 0.2081   0.4210E+00  0.3299E-02 -0.2320E+00  0.0000E+00      -1  -0.219E-02   20.00
  41   -40.0000     -32.687 0.2095   0.4394E+00  0.3361E-02 -0.2467E+00  0.0000E+00      -1  -0.233E-02   20.00
  42   -41.0000     -32.254 0.2108   0.4574E+00  0.3421E-02 -0.2616E+00  0.0000E+00      -1  -0.247E-02   20.00
  43   -42.0000     -31.832 0.2122   0.4749E+00  0.3480E-02 -0.2769E+00  0.0000E+00      -1  -0.261E-02   20.00
  44   -43.0000     -31.420 0.2135   0.4919E+00  0.3538E-02 -0.2925E+00  0.0000E+00      -1  -0.276E-02   20.00
  45   -44.0000     -31.021 0.2147   0.5085E+00  0.3593E-02 -0.3084E+00  0.0000E+00      -1  -0.291E-02   20.00
  46   -45.0000     -30.634 0.2160   0.5245E+00  0.3648E-02 -0.3246E+00  0.0000E+00      -1  -0.306E-02   20.00
  47   -46.0000     -30.259 0.2172   0.5400E+00  0.3700E-02 -0.3411E+00  0.0000E+00      -1  -0.321E-02   20.00
  48   -47.0000     -29.897 0.2183   0.5550E+00  0.3750E-02 -0.3597E+00  0.0000E+00      -1  -0.339E-02   20.00
  49   -48.0000     -29.542 0.2198   0.5911E+00  0.3821E-02 -0.3824E+00  0.0000E+00      -1  -0.360E-02   20.00
  50   -49.0000     -29.188 0.2213   0.6315E+00  0.3897E-02 -0.4079E+00  0.0000E+00      -1  -0.384E-02   20.00
  51   -50.0000     -28.834 0.2229   0.6719E+00  0.3972E-02 -0.4345E+00  0.0000E+00      -1  -0.410E-02   20.00
  52   -51.0000     -28.482 0.2244   0.7121E+00  0.4047E-02 -0.4620E+00  0.0000E+00      -1  -0.435E-02   20.00
  53   -52.0000     -28.132 0.2260   0.7521E+00  0.4122E-02 -0.4903E+00  0.0000E+00      -1  -0.462E-02   20.00
  54   -53.0000     -27.786 0.2275   0.7916E+00  0.4196E-02 -0.5192E+00  0.0000E+00      -1  -0.489E-02   20.00
  55   -54.0000     -27.444 0.2290   0.8306E+00  0.4269E-02 -0.5486E+00  0.0000E+00      -1  -0.517E-02   20.00
  56   -55.0000     -27.107 0.2305   0.8691E+00  0.4340E-02 -0.5786E+00  0.0000E+00      -1  -0.545E-02   20.00
  57   -56.0000     -26.775 0.2319   0.9069E+00  0.4411E-02 -0.6089E+00  0.0000E+00      -1  -0.574E-02   20.00
  58   -57.0000     -26.450 0.2333   0.9441E+00  0.4480E-02 -0.6397E+00  0.0000E+00      -1  -0.603E-02   20.00
  59   -58.0000     -26.131 0.2347   0.9805E+00  0.4549E-02 -0.6708E+00  0.0000E+00      -1  -0.632E-02   20.00
  60   -59.0000     -25.818 0.2361   0.1016E+01  0.4615E-02 -0.7023E+00  0.0000E+00      -1  -0.662E-02   20.00
  61   -60.0000     -25.513 0.2374   0.1051E+01  0.4680E-02 -0.7341E+00  0.0000E+00      -1  -0.692E-02   20.00
  62   -61.0000     -25.215 0.2387   0.1085E+01  0.4744E-02 -0.7663E+00  0.0000E+00      -1  -0.722E-02   20.00
  63   -62.0000     -24.926 0.2400   0.1118E+01  0.4805E-02 -0.7989E+00  0.0000E+00      -1  -0.753E-02   20.00
  64   -63.0000     -24.644 0.2412   0.1150E+01  0.4865E-02 -0.8317E+00  0.0000E+00      -1  -0.784E-02   20.00
  65   -64.0000     -24.372 0.2424   0.1181E+01  0.4923E-02 -0.8647E+00  0.0000E+00      -1  -0.815E-02   20.00
  66   -65.0000     -24.108 0.2436   0.1211E+01  0.4980E-02 -0.8980E+00  0.0000E+00      -1  -0.846E-02   20.00
  67   -66.0000     -23.855 0.2447   0.1240E+01  0.5034E-02 -0.9314E+00  0.0000E+00      -1  -0.878E-02   20.00
  68   -67.0000     -23.608 0.2458   0.1275E+01  0.5089E-02 -0.9707E+00  0.0000E+00      -1  -0.915E-02   20.00
  69   -68.0000     -23.367 0.2472   0.1345E+01  0.5159E-02 -0.1017E+01  0.0000E+00      -1  -0.959E-02   20.00
  70   -69.0000     -23.121 0.2486   0.1416E+01  0.5230E-02 -0.1066E+01  0.0000E+00      -1  -0.100E-01   20.00
  71   -70.0000     -22.873 0.2501   0.1488E+01  0.5302E-02 -0.1117E+01  0.0000E+00      -1  -0.105E-01   20.00
  72   -71.0000     -22.623 0.2515   0.1560E+01  0.5375E-02 -0.1170E+01  0.0000E+00      -1  -0.110E-01   20.00
  73   -72.0000     -22.373 0.2529   0.1633E+01  0.5447E-02 -0.1225E+01  0.0000E+00      -1  -0.115E-01   20.00
  74   -73.0000     -22.123 0.2544   0.1705E+01  0.5520E-02 -0.1281E+01  0.0000E+00      -1  -0.121E-01   20.00
  75   -74.0000     -21.875 0.2558   0.1777E+01  0.5592E-02 -0.1338E+01  0.0000E+00      -1  -0.126E-01   20.00
  76   -75.0000     -21.630 0.2572   0.1848E+01  0.5663E-02 -0.1397E+01  0.0000E+00      -1  -0.132E-01   20.00
  77   -76.0000     -21.387 0.2586   0.1918E+01  0.5734E-02 -0.1456E+01  0.0000E+00      -1  -0.137E-01   20.00
  78   -77.0000     -21.148 0.2600   0.1988E+01  0.5803E-02 -0.1516E+01  0.0000E+00      -1  -0.143E-01   20.00
  79   -78.0000     -20.913 0.2613   0.2056E+01  0.5871E-02 -0.1577E+01  0.0000E+00      -1  -0.149E-01   20.00
  80   -79.0000     -20.682 0.2627   0.2123E+01  0.5938E-02 -0.1639E+01  0.0000E+00      -1  -0.154E-01   20.00
  81   -80.0000     -20.457 0.2640   0.2188E+01  0.6004E-02 -0.1701E+01  0.0000E+00      -1  -0.160E-01   20.00
  82   -81.0000     -20.237 0.2652   0.2252E+01  0.6068E-02 -0.1764E+01  0.0000E+00      -1  -0.166E-01   20.00
  83   -82.0000     -20.024 0.2665   0.2314E+01  0.6130E-02 -0.1827E+01  0.0000E+00      -1  -0.172E-01   20.00
  84   -83.0000     -19.817 0.2677   0.2374E+01  0.6190E-02 -0.1890E+01  0.0000E+00      -1  -0.178E-01   20.00
  85   -84.0000     -19.617 0.2688   0.2432E+01  0.6248E-02 -0.1954E+01  0.0000E+00      -1  -0.184E-01   20.00
  86   -85.0000     -19.424 0.2699   0.2488E+01  0.6304E-02 -0.2018E+01  0.0000E+00      -1  -0.190E-01   20.00
  87   -86.0000     -19.239 0.2710   0.2541E+01  0.6358E-02 -0.2082E+01  0.0000E+00      -1  -0.196E-01   20.00
  88   -87.0000     -19.063 0.2720   0.2593E+01  0.6409E-02 -0.2146E+01  0.0000E+00      -1  -0.202E-01   20.00
  89   -88.0000     -18.895 0.2730   0.2641E+01  0.6458E-02 -0.2213E+01  0.0000E+00      -1  -0.209E-01   20.00
  90   -89.0000     -18.739 0.2739   0.2686E+01  0.6503E-02 -0.2289E+01  0.0000E+00      -1  -0.216E-01   20.00
  91   -90.0000     -18.591 0.2749   0.2784E+01  0.6553E-02 -0.2375E+01  0.0000E+00      -1  -0.224E-01   20.00
  92   -91.0000     -18.445 0.2760   0.2881E+01  0.6602E-02 -0.2465E+01  0.0000E+00      -1  -0.232E-01   20.00
  93   -92.0000     -18.303 0.2770   0.2975E+01  0.6649E-02 -0.2560E+01  0.0000E+00      -1  -0.241E-01   20.00
  94   -93.0000     -18.167 0.2779   0.3065E+01  0.6695E-02 -0.2660E+01  0.0000E+00      -1  -0.251E-01   20.00
  95   -94.0000     -18.040 0.2789   0.3149E+01  0.6738E-02 -0.2763E+01  0.0000E+00      -1  -0.260E-01   20.00
