,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
16500,16.0,-15.0,-85.54,0.1308,0.009979,0.0006796,0.01011,0.0,-1.0,9.53e-05,20.0,15.700000000000001
16605,16.0,-15.0,-85.684,0.1307,0.009914,0.0006775,0.01007,0.0,-1.0,9.49e-05,20.0,15.8
16710,16.0,-15.0,-85.828,0.1306,0.009849,0.0006755,0.01003,0.0,-1.0,9.46e-05,20.0,15.9
16815,16.0,-15.0,-85.972,0.1305,0.009785,0.0006734,0.009996,0.0,-1.0,9.42e-05,20.0,16.0
16920,16.0,-15.0,-86.115,0.1304,0.00972,0.0006714,0.009958,0.0,-1.0,9.39e-05,20.0,16.1
17025,16.0,-15.0,-86.257,0.1303,0.009656,0.0006694,0.00992,0.0,-1.0,9.35e-05,20.0,16.2
17130,16.0,-15.0,-86.398,0.1302,0.009593,0.0006674,0.009882,0.0,-1.0,9.31e-05,20.0,16.3
17235,16.0,-15.0,-86.539,0.1301,0.00953,0.0006654,0.009844,0.0,-1.0,9.28e-05,20.0,16.400000000000002
17340,16.0,-15.0,-86.678,0.13,0.009467,0.0006634,0.009805,0.0,-1.0,9.24e-05,20.0,16.5
17445,16.0,-15.0,-86.817,0.1299,0.009405,0.0006614,0.009766,0.0,-1.0,9.2e-05,20.0,16.6
17550,16.0,-15.0,-86.954,0.1298,0.009343,0.0006595,0.009724,0.0,-1.0,9.17e-05,20.0,16.7
17655,16.0,-15.0,-87.091,0.1297,0.009281,0.0006575,0.009682,0.0,-1.0,9.13e-05,20.0,16.8
17760,16.0,-15.0,-87.228,0.1296,0.00922,0.0006556,0.009639,0.0,-1.0,9.08e-05,20.0,16.900000000000002
17865,16.0,-15.0,-87.363,0.1295,0.009159,0.0006536,0.009596,0.0,-1.0,9.04e-05,20.0,17.0
17970,16.0,-15.0,-87.498,0.1295,0.009099,0.0006517,0.009553,0.0,-1.0,9e-05,20.0,17.1
18075,16.0,-15.0,-87.631,0.1294,0.009038,0.0006498,0.00951,0.0,-1.0,8.96e-05,20.0,17.2
18180,16.0,-15.0,-87.764,0.1293,0.008979,0.0006479,0.009467,0.0,-1.0,8.92e-05,20.0,17.3
18285,16.0,-15.0,-87.896,0.1292,0.008919,0.0006461,0.009425,0.0,-1.0,8.88e-05,20.0,17.400000000000002
18390,16.0,-15.0,-88.028,0.1291,0.00886,0.0006442,0.009395,0.0,-1.0,8.86e-05,20.0,17.5
18495,16.0,-15.0,-88.161,0.129,0.0088,0.0006423,0.009371,0.0,-1.0,8.83e-05,20.0,17.6
18600,16.0,-15.0,-88.295,0.1289,0.00874,0.0006404,0.009348,0.0,-1.0,8.81e-05,20.0,17.7
18705,16.0,-15.0,-88.429,0.1288,0.00868,0.0006385,0.009324,0.0,-1.0,8.79e-05,20.0,17.8
18810,16.0,-15.0,-88.562,0.1288,0.00862,0.0006366,0.009297,0.0,-1.0,8.76e-05,20.0,17.900000000000002
18915,16.0,-15.0,-88.695,0.1287,0.00856,0.0006347,0.009268,0.0,-1.0,8.74e-05,20.0,18.0
19020,16.0,-15.0,-88.827,0.1286,0.008501,0.0006328,0.009238,0.0,-1.0,8.71e-05,20.0,18.1
19125,16.0,-15.0,-88.959,0.1285,0.008442,0.000631,0.009206,0.0,-1.0,8.68e-05,20.0,18.2
19230,16.0,-15.0,-89.09,0.1284,0.008383,0.0006291,0.009174,0.0,-1.0,8.65e-05,20.0,18.3
19335,16.0,-15.0,-89.22,0.1283,0.008324,0.0006273,0.00914,0.0,-1.0,8.61e-05,20.0,18.400000000000002
19440,16.0,-15.0,-89.349,0.1282,0.008266,0.0006254,0.009106,0.0,-1.0,8.58e-05,20.0,18.5
19545,16.0,-15.0,-89.477,0.1281,0.008209,0.0006236,0.009072,0.0,-1.0,8.55e-05,20.0,18.6
19650,16.0,-15.0,-89.605,0.1281,0.008151,0.0006218,0.009036,0.0,-1.0,8.52e-05,20.0,18.7
19755,16.0,-15.0,-89.732,0.128,0.008094,0.00062,0.009001,0.0,-1.0,8.48e-05,20.0,18.8
19860,16.0,-15.0,-89.858,0.1279,0.008037,0.0006182,0.008965,0.0,-1.0,8.45e-05,20.0,18.900000000000002
19965,16.0,-15.0,-89.984,0.1278,0.007981,0.0006164,0.008929,0.0,-1.0,8.42e-05,20.0,19.0
20070,16.0,-15.0,-90.109,0.1277,0.007925,0.0006146,0.008894,0.0,-1.0,8.38e-05,20.0,19.1
20175,16.0,-15.0,-90.233,0.1276,0.007869,0.0006129,0.008859,0.0,-1.0,8.35e-05,20.0,19.200000000000003
20280,16.0,-15.0,-90.357,0.1276,0.007813,0.0006111,0.008824,0.0,-1.0,8.32e-05,20.0,19.3
20385,16.0,-15.0,-90.48,0.1275,0.007758,0.0006093,0.008789,0.0,-1.0,8.28e-05,20.0,19.400000000000002
20490,16.0,-15.0,-90.605,0.1274,0.007702,0.0006076,0.008773,0.0,-1.0,8.27e-05,20.0,19.5
20595,16.0,-15.0,-90.732,0.1273,0.007645,0.0006058,0.00877,0.0,-1.0,8.27e-05,20.0,19.6
20700,16.0,-15.0,-90.86,0.1272,0.007587,0.0006039,0.008762,0.0,-1.0,8.26e-05,20.0,19.700000000000003
20805,16.0,-15.0,-90.988,0.1271,0.007529,0.0006021,0.008751,0.0,-1.0,8.25e-05,20.0,19.8
20910,16.0,-15.0,-91.116,0.1271,0.007472,0.0006003,0.008734,0.0,-1.0,8.23e-05,20.0,19.900000000000002
21015,16.0,-15.0,-91.243,0.127,0.007415,0.0005985,0.008714,0.0,-1.0,8.21e-05,20.0,20.0
21120,16.0,-15.0,-91.37,0.1269,0.007358,0.0005967,0.008693,0.0,-1.0,8.19e-05,20.0,20.1
