 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   2. 1.2023    Time:  10:36:27
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  70   -69.0000     -87.162 0.2542   0.5602E-01  0.9805E-03  0.3008E-01  0.0000E+00      -1   0.121E-02   20.00
  71   -70.0000     -85.641 0.2557   0.5911E-01  0.1003E-02  0.2977E-01  0.0000E+00      -1   0.119E-02   20.00
  72   -71.0000     -84.153 0.2571   0.6213E-01  0.1024E-02  0.2933E-01  0.0000E+00      -1   0.117E-02   20.00
  73   -72.0000     -82.696 0.2586   0.6509E-01  0.1046E-02  0.2877E-01  0.0000E+00      -1   0.115E-02   20.00
  74   -73.0000     -81.268 0.2600   0.6799E-01  0.1066E-02  0.2812E-01  0.0000E+00      -1   0.113E-02   20.00
  75   -74.0000     -79.868 0.2614   0.7083E-01  0.1087E-02  0.2740E-01  0.0000E+00      -1   0.110E-02   20.00
  76   -75.0000     -78.494 0.2628   0.7362E-01  0.1107E-02  0.2661E-01  0.0000E+00      -1   0.107E-02   20.00
  77   -76.0000     -77.145 0.2641   0.7636E-01  0.1126E-02  0.2579E-01  0.0000E+00      -1   0.103E-02   20.00
  78   -77.0000     -75.818 0.2654   0.7905E-01  0.1146E-02  0.2494E-01  0.0000E+00      -1   0.999E-03   20.00
  79   -78.0000     -74.519 0.2671   0.8491E-01  0.1173E-02  0.2392E-01  0.0000E+00      -1   0.958E-03   20.00
  80   -79.0000     -73.254 0.2687   0.9109E-01  0.1201E-02  0.2270E-01  0.0000E+00      -1   0.909E-03   20.00
  81   -80.0000     -72.020 0.2704   0.9712E-01  0.1228E-02  0.2140E-01  0.0000E+00      -1   0.857E-03   20.00
  82   -81.0000     -70.812 0.2719   0.1030E+00  0.1255E-02  0.1998E-01  0.0000E+00      -1   0.801E-03   20.00
  83   -82.0000     -69.631 0.2735   0.1088E+00  0.1281E-02  0.1843E-01  0.0000E+00      -1   0.738E-03   20.00
  84   -83.0000     -68.473 0.2750   0.1145E+00  0.1306E-02  0.1671E-01  0.0000E+00      -1   0.670E-03   20.00
  85   -84.0000     -67.338 0.2765   0.1200E+00  0.1331E-02  0.1479E-01  0.0000E+00      -1   0.593E-03   20.00
